City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Nurobod,UZ,66.2,52.0,0.0,4.7,40.91,69.8
Dikson,RU,18.77,88.0,47.0,6.06,73.51,80.55
Norman Wells,CA,57.2,33.0,75.0,5.82,65.28,-126.83
Kloulklubed,PW,80.6,88.0,90.0,12.75,7.04,134.26
Tasiilaq,GL,33.8,74.0,75.0,5.82,65.61,-37.64
Pevek,RU,29.39,90.0,82.0,4.16,69.7,170.27
Jamestown,AU,66.83,47.0,1.0,19.01,-33.21,138.6
Joniskis,LT,39.2,86.0,0.0,11.41,56.24,23.62
Saldanha,PT,49.91,83.0,98.0,2.15,41.42,-6.55
Shahrud,IR,47.39,65.0,100.0,4.61,36.42,54.97
Provideniya,RU,35.6,74.0,0.0,11.18,64.42,-173.23
Yar-Sale,RU,31.19,77.0,78.0,8.05,66.83,70.83
palabuhanratu,,,,,,,
Ribeira Grande,PT,61.25,80.0,75.0,15.37,38.52,-28.7
Khatanga,RU,15.89,85.0,26.0,6.89,71.98,102.47
olafsvik,,,,,,,
Orotukan,RU,39.47,60.0,91.0,7.18,62.26,151.67
taolanaro,,,,,,,
Batagay,RU,45.05,36.0,16.0,10.02,67.65,134.64
Cabo San Lucas,MX,73.56,24.0,5.0,10.29,22.89,-109.91
Corsicana,US,70.65,83.0,1.0,3.36,32.09,-96.46
Sandakan,MY,89.6,66.0,75.0,4.7,5.84,118.12
Grand Gaube,MU,77.0,83.0,75.0,12.06,-20.01,57.66
Vestmannaeyjar,IS,44.33,82.0,0.0,11.25,63.44,-20.27
Lebu,ET,57.2,58.0,20.0,4.7,8.96,38.73
Sal Rei,CV,69.8,83.0,75.0,13.87,16.18,-22.92
Port Elizabeth,US,53.65,93.0,1.0,4.7,39.31,-74.98
Ozernovskiy,RU,47.93,47.0,33.0,12.06,51.5,156.52
Puerto Ayora,EC,77.0,95.0,38.0,6.24,-0.74,-90.35
Venado Tuerto,AR,52.0,57.0,28.0,3.0,-33.75,-61.97
Esperance,TT,78.48,88.0,20.0,10.29,10.24,-61.45
Mahebourg,MU,77.0,83.0,75.0,7.74,-20.41,57.7
Dullewala,PK,93.29,13.0,0.0,7.85,31.84,71.44
Oktyabrskiy,RU,52.45,87.0,85.0,2.24,55.61,37.97
Olinda,EC,79.12,69.0,75.0,11.41,-2.03,-79.75
Georgetown,GY,77.0,94.0,75.0,4.7,6.8,-58.16
jurado,,,,,,,
Portland,US,69.93,38.0,40.0,10.29,45.52,-122.67
Vaini,IN,77.92,78.0,0.0,6.93,15.34,74.49
Baramati,IN,88.07,28.0,0.0,10.22,18.15,74.57
Cidreira,BR,67.73,77.0,70.0,7.43,-30.17,-50.22
Victoria,BN,89.33,70.0,75.0,5.82,5.28,115.24
samusu,,,,,,,
Nago,IT,43.92,80.0,0.0,2.24,45.88,10.89
Kodiak,US,58.19,87.0,40.0,12.75,39.95,-94.76
Aguas Verdes,EC,89.6,33.0,90.0,3.36,-3.48,-80.25
Marawi,PH,88.0,67.0,22.0,5.99,8.0,124.29
Neuquen,AR,57.65,46.0,32.0,10.16,-38.95,-68.06
Peniche,PT,59.14,100.0,75.0,6.93,39.36,-9.38
Luderitz,NA,55.4,82.0,0.0,4.7,-26.65,15.16
asau,,,,,,,
Sabang,PH,87.35,69.0,100.0,8.1,13.72,123.58
Port Augusta,AU,67.51,46.0,75.0,19.46,-32.49,137.76
Ancud,CL,39.2,100.0,20.0,4.7,-41.87,-73.83
Codrington,AU,77.0,41.0,0.0,5.82,-28.95,153.24
Igrim,RU,43.61,72.0,46.0,8.12,63.19,64.42
Mackenzie,CA,51.8,57.0,90.0,3.36,55.34,-123.09
Atherton,GB,39.88,86.0,92.0,2.24,53.52,-2.49
rungata,,,,,,,
Leningradskiy,RU,27.23,81.0,75.0,5.12,69.38,178.42
Xingyi,CN,76.37,28.0,25.0,13.89,24.19,102.82
Basco,US,63.7,93.0,90.0,7.85,40.33,-91.2
Alofi,NU,77.0,78.0,75.0,14.99,-19.06,-169.92
Cape Town,ZA,55.58,93.0,75.0,2.24,-33.93,18.42
East London,ZA,68.0,88.0,0.0,9.17,-33.02,27.91
Broome,GB,41.58,100.0,100.0,1.12,52.47,1.45
Zhigansk,RU,29.39,91.0,100.0,11.61,66.77,123.37
Lagoa,PT,57.31,82.0,0.0,6.93,37.14,-8.45
Uyuni,BO,52.25,49.0,31.0,7.74,-20.46,-66.82
Hun,BE,38.48,86.0,85.0,2.24,50.34,4.87
Malangali,TZ,66.83,79.0,100.0,5.32,-8.57,34.85
Vanimo,PG,85.01,74.0,97.0,12.15,-2.67,141.3
Puerto Ayacucho,CO,82.13,78.0,100.0,5.44,5.66,-67.63
Sojat,IN,90.95,20.0,0.0,15.61,25.92,73.67
ust-kamchatsk,,,,,,,
Uribia,CO,83.39,67.0,100.0,10.51,11.71,-72.27
Cartagena,ES,62.19,82.0,90.0,2.24,37.63,-1.0
Narsaq,GL,44.51,69.0,0.0,2.57,60.91,-46.05
utiroa,,,,,,,
Inhambane,MZ,73.4,83.0,40.0,2.89,-23.87,35.38
Katangli,RU,50.63,59.0,95.0,10.42,51.71,143.23
Komsomolskiy,RU,22.01,94.0,1.0,7.2,67.55,63.78
Saint-Francois,FR,30.67,90.0,72.0,1.12,46.42,3.91
barbar,,,,,,,
Havre-Saint-Pierre,CA,37.4,74.0,75.0,10.29,50.23,-63.6
Torbay,CA,36.05,80.0,40.0,13.87,47.66,-52.73
Kaeo,NZ,65.52,96.0,3.0,11.07,-35.1,173.78
Neepawa,CA,37.4,40.0,20.0,2.24,50.23,-99.46
Umea,SE,37.4,93.0,75.0,8.05,63.83,20.26
Anloga,GH,82.4,88.0,20.0,5.82,5.79,0.9
Panzhihua,CN,77.0,33.0,25.0,2.42,26.59,101.72
Merrill,US,62.35,36.0,1.0,4.38,42.03,-121.6
Kuldur,RU,51.35,34.0,63.0,7.52,49.22,131.63
Tripoli,GR,51.01,93.0,75.0,3.89,37.51,22.37
Kruisfontein,ZA,60.71,84.0,100.0,6.91,-34.0,24.73
Kauhajoki,FI,38.8,64.0,0.0,5.82,62.43,22.18
Coihaique,CL,41.56,81.0,0.0,5.82,-45.58,-72.07
Beyneu,KZ,67.73,52.0,0.0,10.74,45.32,55.19
Macaubas,BR,71.69,75.0,0.0,6.13,-13.02,-42.7
Katsuura,JP,60.82,29.0,20.0,13.87,33.93,134.5
Clinton,US,55.0,76.0,90.0,6.93,41.84,-90.19
Marfino,RU,53.26,71.0,0.0,2.24,56.07,37.56
kyra,,,,,,,
Stettler,CA,48.9,51.0,88.0,1.99,52.32,-112.71
amderma,,,,,,,
Orange Walk,JM,82.4,61.0,20.0,12.75,17.93,-76.27
Hobyo,SO,82.31,76.0,41.0,9.89,5.35,48.53
Lucapa,AO,71.33,70.0,49.0,3.98,-8.42,20.74
Atuona,PF,83.03,77.0,100.0,18.23,-9.8,-139.03
Klaksvik,FO,33.8,69.0,92.0,8.05,62.23,-6.59
Bereda,ES,54.23,93.0,75.0,2.24,43.27,-7.54
tsihombe,,,,,,,
Guarda,PT,45.0,94.0,91.0,3.02,40.54,-7.27
San Quintin,PH,90.23,53.0,91.0,7.78,17.54,120.52
Hithadhoo,MV,84.65,72.0,78.0,8.03,-0.6,73.08
Karratha,AU,92.21,19.0,0.0,24.83,-20.74,116.85
Avera,US,67.75,88.0,1.0,4.12,33.19,-82.53
Jaciara,BR,73.31,85.0,78.0,0.04,-15.95,-54.98
Bubaque,GW,79.61,73.0,41.0,11.43,11.28,-15.83
Talnakh,RU,30.2,92.0,90.0,13.42,69.49,88.39
Namatanai,PG,81.59,80.0,100.0,10.92,-3.66,152.44
Mareeba,AU,80.85,54.0,0.0,13.87,-16.99,145.42
Jacareacanga,BR,76.91,75.0,74.0,1.59,-6.22,-57.76
Fairbanks,US,42.19,41.0,90.0,8.05,64.84,-147.72
warqla,,,,,,,
boatlaname,,,,,,,
Westport,IE,41.88,81.0,100.0,5.95,53.8,-9.52
Inta,RU,32.63,83.0,0.0,2.66,66.04,60.13
Alice Springs,AU,78.8,13.0,0.0,10.29,-23.7,133.88
Qaanaaq,GL,28.13,66.0,99.0,5.86,77.48,-69.36
Ta Khmau,KH,93.2,56.0,20.0,5.82,11.48,104.95
Mount Isa,AU,78.8,19.0,0.0,5.82,-20.73,139.49
Nabire,ID,90.05,49.0,99.0,3.02,-3.36,135.5
Wanning,AT,34.48,86.0,40.0,2.24,48.64,13.53
Spornoye,RU,51.8,81.0,0.0,4.47,50.84,37.29
Ambunti,PG,96.53,47.0,61.0,0.65,-4.22,142.82
Samarai,PG,78.53,89.0,21.0,4.81,-10.62,150.67
Ixtapa,MX,75.11,83.0,40.0,4.7,20.71,-105.21
New Norfolk,AU,56.73,54.0,75.0,3.36,-42.78,147.06
Zhezkazgan,KZ,60.8,48.0,0.0,6.71,47.8,67.71
Dunedin,NZ,55.99,80.0,66.0,11.99,-45.87,170.5
Hamilton,BM,74.59,88.0,75.0,28.86,32.3,-64.78
Sinnamary,GF,80.69,81.0,98.0,12.91,5.38,-52.96
Vila Velha,BR,79.27,83.0,0.0,3.36,-3.71,-38.6
Mahon,IE,46.72,93.0,75.0,5.82,51.89,-8.4
Pisco,PE,67.48,82.0,0.0,10.29,-13.71,-76.2
Broken Hill,AU,66.2,37.0,0.0,19.46,-31.97,141.45
Graaff-Reinet,ZA,71.51,30.0,100.0,8.14,-32.25,24.53
Anadyr,RU,28.2,79.0,90.0,2.24,64.73,177.51
Pierre,US,37.67,93.0,90.0,9.17,44.37,-100.35
Oranjemund,ZA,58.37,91.0,85.0,12.12,-28.55,16.43
Carnarvon,ZA,64.13,33.0,100.0,9.22,-30.97,22.13
Tateyama,JP,62.53,26.0,20.0,5.82,36.66,137.31
Nikolskoye,RU,41.95,87.0,90.0,8.95,59.7,30.79
Araceli,PH,92.03,53.0,100.0,4.09,10.55,119.99
Novopokrovka,RU,55.49,30.0,48.0,9.1,45.85,134.51
Los Llanos de Aridane,ES,66.2,63.0,90.0,12.75,28.66,-17.92
Port Blair,IN,85.01,76.0,100.0,15.55,11.67,92.75
Dryden,CA,37.4,40.0,1.0,3.36,49.79,-92.84
Nanortalik,GL,39.47,82.0,0.0,6.76,60.14,-45.24
Khingansk,RU,54.05,29.0,93.0,6.89,49.12,131.18
Clyde River,CA,19.4,100.0,40.0,3.36,70.47,-68.59
Fort Nelson,CA,53.6,37.0,75.0,1.23,58.81,-122.69
Ulladulla,AU,66.72,28.0,0.0,12.75,-35.36,150.48
Chiltepec,MX,62.15,92.0,63.0,2.17,18.48,-96.9
San Borja,BO,74.39,88.0,100.0,2.37,-14.86,-66.75
Chegdomyn,RU,52.61,43.0,37.0,2.71,51.13,133.04
nizhneyansk,,,,,,,
labutta,,,,,,,
Alyangula,AU,87.8,48.0,75.0,6.93,-13.85,136.42
Severo-Kurilsk,RU,41.09,74.0,54.0,12.68,50.68,156.12
Taixing,CN,72.23,20.0,19.0,8.55,32.17,120.02
sentyabrskiy,,,,,,,
Biak,ID,73.49,86.0,98.0,1.9,-0.91,122.88
Ikungi,TZ,65.03,83.0,86.0,9.82,-5.13,34.77
Payson,US,56.21,50.0,1.0,8.05,40.04,-111.73
Nanzhang,CN,55.13,58.0,100.0,2.17,31.78,111.84
Villa del Rosario,CO,86.0,51.0,40.0,16.11,7.83,-72.47
Vardo,US,57.16,93.0,1.0,3.36,39.62,-77.74
Maniitsoq,GL,41.09,67.0,33.0,4.27,65.42,-52.9
Kula,RS,42.8,93.0,75.0,9.17,45.61,19.53
Syracuse,US,55.17,82.0,90.0,6.04,43.05,-76.15
Sarkand,KZ,63.05,25.0,0.0,4.0,45.41,79.91
Vila Franca do Campo,PT,62.6,93.0,75.0,21.92,37.72,-25.43
vaitupu,,,,,,,
Tuatapere,NZ,57.0,89.0,100.0,8.99,-46.13,167.69
Tongren,CN,51.71,89.0,95.0,8.37,27.72,109.18
Gazanjyk,TM,78.35,31.0,0.0,8.61,39.24,55.52
Yumen,CN,50.99,49.0,100.0,2.28,40.29,97.04
Yarada,IN,91.4,70.0,75.0,9.17,17.65,83.27
Kaitong,CN,72.95,15.0,0.0,14.74,44.81,123.15
Half Moon Bay,US,55.35,87.0,90.0,4.7,37.46,-122.43
Kahului,US,74.03,50.0,40.0,11.41,20.89,-156.47
Lyngseidet,NO,32.0,68.0,0.0,13.87,69.58,20.21
Isla Mujeres,MX,80.31,83.0,20.0,12.75,21.23,-86.73
Longyearbyen,NO,21.2,79.0,20.0,5.82,78.22,15.63
Carballo,ES,55.99,93.0,75.0,2.24,43.21,-8.69
Tautira,PF,84.11,66.0,40.0,12.75,-17.73,-149.15
Chokurdakh,RU,27.23,94.0,100.0,14.0,70.62,147.9
Constitucion,MX,66.22,51.0,5.0,12.75,23.99,-104.67
Dhidhdhoo,MV,84.29,59.0,54.0,5.1,6.88,73.1
Axim,GH,81.77,79.0,52.0,4.47,4.87,-2.24
Urucui,BR,72.59,76.0,5.0,1.74,-7.23,-44.56
Diffun,PH,94.91,47.0,94.0,2.06,16.59,121.5
Halifax,CA,38.68,75.0,5.0,2.75,44.65,-63.58
belushya guba,,,,,,,
Abay,KZ,59.0,54.0,0.0,4.47,49.63,72.87
Oranjestad,AW,80.6,83.0,40.0,23.04,12.52,-70.03
Mandalgovi,MN,57.47,13.0,100.0,9.31,45.76,106.27
San Juan,PH,88.86,66.0,40.0,13.87,14.6,121.03
Vila,IT,44.76,61.0,0.0,4.7,45.18,8.4
Semporna,MY,87.8,74.0,75.0,4.7,4.48,118.61
Puerto Rico,PY,69.35,98.0,0.0,1.52,-26.82,-55.03
Gat,SN,73.4,69.0,100.0,21.92,14.69,-16.54
korla,,,,,,,
Boguchany,RU,50.09,65.0,100.0,7.92,58.38,97.46
Castro,CL,39.2,100.0,20.0,4.7,-42.48,-73.76
Rocha,UY,48.83,85.0,0.0,3.27,-34.48,-54.34
Muros,ES,55.81,100.0,90.0,10.29,42.77,-9.06
karamay,,,,,,,
Skibbereen,IE,46.4,93.0,75.0,5.82,51.55,-9.27
Christchurch,NZ,55.85,93.0,100.0,13.87,-43.53,172.64
Sitka,US,65.93,85.0,67.0,12.66,37.17,-99.65
mentok,,,,,,,
Dingle,PH,94.55,43.0,100.0,7.96,11.0,122.67
Mega,ET,70.07,85.0,71.0,11.18,4.06,38.32
qabis,,,,,,,
attawapiskat,,,,,,,
Port Hardy,CA,51.8,66.0,75.0,10.29,50.7,-127.42
Oistins,BB,78.8,78.0,40.0,16.11,13.07,-59.53
Yanam,IN,87.8,66.0,40.0,4.7,16.73,82.22
Grand Island,US,49.21,93.0,90.0,19.46,40.92,-98.34
Tamiahua,MX,77.63,95.0,57.0,7.92,21.28,-97.45
Karpogory,RU,41.45,85.0,88.0,7.74,64.0,44.44
Rudnyy,KZ,66.2,32.0,0.0,11.18,52.96,63.12
Cooma,AU,53.6,76.0,0.0,11.41,-36.24,149.13
Erdenet,MN,57.47,21.0,91.0,9.51,49.03,104.04
Hami,CN,58.73,32.0,34.0,4.79,42.84,93.51
Aswan,EG,84.2,16.0,0.0,10.29,24.09,32.9
Launceston,AU,55.58,71.0,41.0,11.41,-41.43,147.14
Tilichiki,RU,47.03,45.0,0.0,12.64,60.47,166.1
Hasaki,JP,62.89,55.0,40.0,8.05,35.73,140.83
Eydhafushi,MV,84.11,63.0,47.0,4.36,5.1,73.07
Waipawa,NZ,60.01,69.0,52.0,1.99,-39.94,176.59
Sechura,PE,70.79,88.0,33.0,11.23,-5.56,-80.82
Mount Gambier,AU,68.0,42.0,40.0,13.87,-37.83,140.78
Ormara,PK,85.37,41.0,0.0,8.23,25.21,64.64
Polignano a Mare,IT,48.11,93.0,20.0,14.99,41.0,17.22
Souillac,FR,38.82,75.0,0.0,3.36,45.6,-0.6
Itarema,BR,77.45,87.0,88.0,4.09,-2.92,-39.92
Ponta do Sol,BR,63.59,96.0,0.0,1.12,-20.63,-46.0
Almonte,CA,53.74,81.0,90.0,11.41,45.23,-76.19
Marzuq,YE,74.03,44.0,0.0,5.21,14.4,46.47
Byron Bay,AU,77.0,41.0,0.0,6.93,-28.65,153.62
Cocobeach,GA,77.0,94.0,20.0,2.24,1.01,9.58
Xalpatlahuac,MX,65.75,55.0,19.0,5.17,17.47,-98.62
Vilhena,BR,73.13,85.0,100.0,2.55,-12.74,-60.15
Praia,BR,66.2,88.0,0.0,3.36,-20.25,-43.81
Susehri,TR,42.17,90.0,0.0,10.42,40.16,38.09
Sola,NO,39.29,65.0,13.0,18.34,58.89,5.65
Moose Factory,CA,33.8,59.0,90.0,5.82,51.26,-80.61
Tazovskiy,RU,29.75,91.0,5.0,12.77,67.47,78.7
Changli,CN,56.39,87.0,98.0,13.38,30.54,105.42
Sao Felix do Xingu,BR,71.51,84.0,48.0,3.91,-6.64,-51.99
Tommot,RU,43.25,57.0,74.0,10.94,58.97,126.27
San Patricio,PY,70.97,97.0,0.0,2.35,-26.98,-56.83
Mecca,SA,88.61,24.0,0.0,2.3,21.43,39.83
Boksitogorsk,RU,46.67,96.0,100.0,4.85,59.47,33.85
Aykhal,RU,24.8,73.0,90.0,8.95,65.95,111.51
Sosnovskoye,RU,55.13,93.0,40.0,4.47,55.81,43.17
urumqi,,,,,,,
Klyuchi,RU,66.83,45.0,0.0,5.17,52.25,79.17
Yulara,AU,75.2,19.0,0.0,14.99,-25.24,130.99
Okhotsk,RU,34.25,99.0,100.0,16.17,59.36,143.24
armacao dos buzios,,,,,,,
Koslan,RU,42.17,80.0,99.0,8.46,63.46,48.9
Bilma,NE,85.37,8.0,0.0,8.14,18.69,12.92
Morro Bay,US,54.81,82.0,90.0,6.2,35.37,-120.85
Plouzane,FR,43.47,81.0,0.0,4.7,48.38,-4.62
Matongo,BI,57.83,95.0,100.0,1.74,-3.07,29.61
Kochki,RU,67.37,40.0,0.0,4.52,54.33,80.49
Miles City,US,43.29,70.0,90.0,8.05,46.41,-105.84
Mitsamiouli,KM,78.8,78.0,20.0,6.93,-11.38,43.28
Shitanjing,CN,55.99,45.0,100.0,4.0,39.23,106.34
Nuevo Casas Grandes,MX,67.91,27.0,32.0,15.99,30.42,-107.91
Goderich,CA,42.15,89.0,38.0,10.58,43.74,-81.71
Neryungri,RU,40.55,68.0,92.0,12.75,56.66,124.71
Chebsara,RU,51.8,87.0,0.0,6.71,59.2,38.84
Terrace,CA,55.4,50.0,90.0,10.29,54.52,-128.61
Banda Aceh,ID,84.29,75.0,74.0,12.41,5.56,95.32
porto santo,,,,,,,
Nassau,DE,33.08,86.0,0.0,8.05,51.17,13.51
Morondava,MG,80.51,52.0,0.0,11.16,-20.3,44.28
Nizhnedevitsk,RU,51.8,81.0,0.0,2.24,51.55,38.36
Isangel,VU,82.4,83.0,75.0,11.41,-19.55,169.27
Sarab,IR,44.51,62.0,100.0,0.78,38.61,44.99
Taree,AU,73.96,30.0,0.0,8.05,-31.91,152.46
Ilulissat,GL,35.6,69.0,33.0,3.36,69.22,-51.1
Kerrville,US,66.69,93.0,75.0,13.85,30.05,-99.14
Shingu,JP,66.2,29.0,20.0,18.34,33.72,135.99
Bilibino,RU,22.91,80.0,0.0,3.6,68.06,166.44
Rio Gallegos,AR,42.8,87.0,0.0,2.24,-51.62,-69.22
Taoudenni,ML,85.01,11.0,0.0,13.11,22.68,-3.98
malakal,,,,,,,
Kieta,PG,88.61,57.0,14.0,4.79,-6.22,155.63
Meulaboh,ID,83.03,70.0,100.0,3.83,4.14,96.13
agstafa,,,,,,,
Batagay-Alyta,RU,25.07,94.0,96.0,4.27,67.8,130.41
Porto Seguro,BR,75.2,94.0,75.0,2.24,-16.44,-39.06
Lannion,FR,44.64,81.0,0.0,4.7,48.73,-3.46
Vilyuysk,RU,39.29,64.0,50.0,9.48,63.75,121.63
Ulaangom,MN,59.63,18.0,27.0,4.74,49.98,92.07
Northam,GB,42.8,83.0,100.0,1.99,51.04,-4.21
Baden-Baden,DE,35.74,86.0,0.0,3.36,48.76,8.24
Mehamn,NO,31.24,79.0,0.0,4.7,71.03,27.85
ji-parana,,,,,,,
Necochea,AR,44.47,86.0,0.0,3.83,-38.55,-58.74
Boende,CD,72.95,93.0,100.0,2.44,-0.28,20.88
phan rang,,,,,,,
Dvinskoy,RU,44.33,91.0,100.0,7.65,62.16,45.12
skalistyy,,,,,,,
Castelo do Piaui,BR,74.75,85.0,56.0,2.1,-5.32,-41.55
Tura,IN,83.03,74.0,62.0,10.83,25.52,90.21
Mmabatho,ZA,53.6,71.0,0.0,3.36,-25.85,25.61
Mar del Plata,AR,48.83,55.0,0.0,5.26,-46.43,-67.52
Homer,US,46.54,87.0,90.0,5.82,59.64,-151.54
Mul,IN,102.65,12.0,0.0,1.95,20.07,79.68
Kamiiso,JP,59.0,38.0,40.0,14.99,41.82,140.65
Te Anau,NZ,59.81,58.0,88.0,1.99,-45.41,167.72
Ayame,CI,78.17,91.0,45.0,2.46,5.61,-3.16
Manavgat,TR,63.39,88.0,40.0,6.93,36.79,31.44
Sao Joao da Barra,BR,70.97,88.0,17.0,4.21,-21.64,-41.05
kemijarvi,,,,,,,
crab hill,,,,,,,
Bitung,ID,89.6,62.0,40.0,3.36,1.44,125.19
Naushki,RU,65.03,28.0,11.0,14.61,50.39,106.11
Otavalo,EC,55.4,87.0,20.0,2.24,0.23,-78.26
Padang,ID,89.6,59.0,20.0,4.7,-0.92,100.36
Yangambi,CD,71.51,87.0,100.0,0.69,0.77,24.47
Junction City,US,58.66,93.0,20.0,11.41,39.03,-96.83
Bowen,AU,77.47,57.0,0.0,9.17,-20.01,148.25
Fortuna,ES,61.16,82.0,40.0,3.36,38.18,-1.13
Kuryk,KZ,69.35,47.0,9.0,10.36,43.18,51.68
Bulawayo,ZW,62.33,60.0,0.0,10.83,-20.16,28.59
Esfarayen,IR,57.2,82.0,12.0,2.24,37.08,57.51
shkotovo-26,,,,,,,
Srednekolymsk,RU,45.77,53.0,0.0,9.57,67.46,153.71
